ID;DEST_CRED;SEXO;CATEGORIA_NEG;EXPERIENCIA_NEGOCIO;ESTADO_CIVIL;EDAD; NIVEL_ENDEUDAMIENTO ;NUMERO_ENTIDADES;M_MAX;ING_BRUTO
182118930;Consumo;Mujer;Comercio;432;Viudo;57; 40,65 ;dos;10; 5.463.000 
40198289;Consumo;Hombre;Servicios;484;Divorciado;38; 27,07 ;tres;12; 12.527.000 
961315794;Activo fijo;Mujer;Comercio;197;Unión Libre;23; 44,77 ;dos;16; 5.218.000 
358047058;Crédito vehículo;Mujer;Servicios;384;Unión Libre;45; 41,48 ;cinco o +;90; 4.766.000 
44407358;Consumo;Hombre;Comercio;524;Casado;45; 30,87 ;tres;3; 3.658.000 
932709155;Consumo;Mujer;Producción;405;Casado;52; 13,38 ;uno;267; 8.477.000 
12356487;Consumo;Hombre;Comercio;473;Soltero;20; 66,01 ;tres;10; 7.623.000 
544632584;Capital de trabajo;Hombre;Comercio;412;Soltero;25; 84,56 ;tres;37; 3.023.000 
944298546;Crédito vehículo;Hombre;Producción;96;Unión Libre;36; 44,09 ;cuatro;52; 5.460.000 
81208255;Capital de trabajo;Hombre;Comercio;283;Unión Libre;40; 11,57 ;tres;21; 5.301.000 
57315371;Consumo;Hombre;Comercio;17;Unión Libre;44; 39,25 ;tres;10; 9.345.000 
647726365;Consumo;Hombre;Comercio;545;Casado;67; 29,94 ;cinco o +;77; 7.729.000 
167161297;Activo fijo;Hombre;Producción;29;Divorciado;51; 30,37 ;dos;22; 5.337.000 
822140347;Capital de trabajo;Hombre;Comercio;431;Viudo;63; 32,10 ;cuatro;58; 9.731.000 
440461412;Activo fijo;Hombre;Servicios;45;Divorciado;29; 35,20 ;dos;9; 5.847.000 
242923817;Consumo;Hombre;Producción;392;Casado;58; 43,22 ;uno;12; 5.334.000 
721648762;Consumo;Mujer;Comercio;328;Soltero;47; 71,71 ;cinco o +;0; 7.938.000 
799337891;Consumo;Hombre;Emprendedor;14;Divorciado;35; 35,07 ;dos;6; 5.204.000 
305053869;Consumo;Hombre;Comercio;12;Unión Libre;31; 40,41 ;cuatro;88; 12.195.000 
434333105;Crédito vehículo;Hombre;Servicios;514;Casado;57; 44,13 ;dos;11; 5.334.000 
705336008;Capital de trabajo;Hombre;Comercio;432;Casado;33; 34,49 ;tres;27; 5.293.000 
716777002;Consumo;Hombre;Informal;414;Casado;31; 3,09 ;dos;17; 6.409.000 
442918495;Consumo;Mujer;Comercio;46;Casado;28; 44,01 ;cuatro;49; 6.761.000 
452232736;Crédito vehículo;Mujer;Producción;157;Soltero;65; 80,51 ;cinco o +;13; 8.645.000 
229802028;Consumo;Mujer;Comercio;431;Divorciado;30; 43,22 ;dos;75; 9.862.000 
167773016;Crédito vehículo;Hombre;Comercio;121;Unión Libre;41; 82,04 ;tres;84; 3.190.000 
180470877;Consumo;Mujer;Producción;138;Divorciado;42; 72,92 ;cuatro;3; 7.513.000 
312742993;Crédito vehículo;Hombre;Comercio;341;Unión Libre;42; 12,51 ;dos;90; 3.863.000 
400449809;Activo fijo;Hombre;Comercio;49;Divorciado;35; 87,54 ;dos;1; 10.993.000 
362187176;Capital de trabajo;Hombre;Producción;555;Unión Libre;64; 28,25 ;cuatro;50; 10.381.000 
547713684;Activo fijo;Mujer;Servicios;564;Unión Libre;40; 4,94 ;cuatro;0; 6.571.000 
377495251;Activo fijo;Hombre;Comercio;210;Casado;44; 21,85 ;cuatro;13; 5.202.000 
945412647;Crédito vehículo;Mujer;Producción;239;Unión Libre;38; 34,12 ;dos;0; 15.563.000 
161031842;Consumo;Hombre;Servicios;178;Unión Libre;27; 28,23 ;tres;29; 10.128.000 
667175160;Consumo;Mujer;Producción;382;Casado;38; 34,95 ;tres;5; 9.983.000 
296626917;Consumo;Mujer;Servicios;41;Casado;38; 37,98 ;tres;25; 9.377.000 
808350857;Capital de trabajo;Hombre;Producción;247;Divorciado;49; 32,93 ;cuatro;61; 16.728.000 
398296021;Crédito vehículo;Hombre;Servicios;394;Divorciado;28; 73,00 ;uno;10; 16.798.000 
335819533;Activo fijo;Hombre;Servicios;80;Unión Libre;25; 44,28 ;dos;35; 9.095.000 
21906334;Crédito vehículo;Mujer;Comercio;109;Soltero;43; 80,11 ;cuatro;0; 4.650.000 
169364916;Activo fijo;Mujer;Comercio;105;Divorciado;24; 37,43 ;dos;21; 5.368.000 
651164591;Capital de trabajo;Hombre;Comercio;226;Casado;59; 55,62 ;cinco o +;69; 12.058.000 
959889114;Activo fijo;Mujer;Producción;581;Divorciado;44; 10,27 ;tres;6; 9.825.000 
115203243;Consumo;Mujer;Servicios;345;Casado;39; 43,87 ;dos;10; 5.252.000 
546074664;Activo fijo;Hombre;Producción;156;Divorciado;55; 77,75 ;dos;11; 5.208.000 
80823928;Consumo;Mujer;Servicios;277;Divorciado;51; 44,20 ;tres;22; 11.836.000 
28708937;Consumo;Hombre;Comercio;80;Divorciado;50; 85,75 ;cuatro;7; 5.875.000 
335787537;Consumo;Hombre;Servicios;431;Soltero;45; 74,31 ;dos;76; 15.584.000 
708043234;Consumo;Hombre;Servicios;286;Casado;38; 44,28 ;tres;15; 4.650.000 
294880094;Consumo;Hombre;Servicios;80;Divorciado;23; 84,55 ;tres;28; 5.082.000 
447655100;Consumo;Mujer;Servicios;396;Soltero;39; 54,75 ;cuatro;7; 11.620.000 
914024495;Crédito vehículo;Hombre;Comercio;349;Unión Libre;34; 29,19 ;dos;3; 9.258.000 
473283895;Consumo;Hombre;Producción;282;Divorciado;42; 37,85 ;dos;289; 12.415.000 
151732477;Consumo;Mujer;Producción;314;Casado;40; 35,70 ;cinco o +;19; 5.390.000 
311828006;Crédito vehículo;Mujer;Comercio;43;Divorciado;49; 38,38 ;dos;11; 3.689.000 
893991706;Activo fijo;Mujer;Comercio;138;Divorciado;23; 70,84 ;tres;57; 3.947.000 
730127911;Consumo;Mujer;Comercio;315;Soltero;36; 88,03 ;tres;193; 8.934.000 
636742229;Consumo;Mujer;Servicios;571;Unión Libre;62; 84,43 ;cuatro;5; 5.382.000 
727575849;Activo fijo;Mujer;Comercio;269;Unión Libre;63; 68,37 ;tres;79; 4.166.000 
914160950;Crédito vehículo;Hombre;Comercio;270;Casado;30; 58,94 ;dos;73; 10.324.000 
633125539;Consumo;Hombre;Servicios;61;Divorciado;60; 44,76 ;uno;31; 5.334.000 
892525221;Consumo;Mujer;Comercio;403;Casado;37; 52,05 ;cuatro;8; 5.335.000 
577214239;Consumo;Hombre;Producción;42;Soltero;57; 42,69 ;tres;13; 5.337.000 
99899314;Consumo;Mujer;Informal;561;Casado;24; 78,42 ;cuatro;72; 11.722.000 
532827330;Activo fijo;Mujer;Comercio;85;Unión Libre;61; 32,53 ;uno;3; 5.293.000 
240642969;Activo fijo;Mujer;Producción;118;Unión Libre;30; 41,78 ;dos;0; 6.418.000 
385684536;Capital de trabajo;Hombre;Producción;238;Casado;30; 78,00 ;dos;8; 5.208.000 
215877787;Consumo;Hombre;Servicios;314;Casado;40; 41,31 ;tres;25; 5.500.000 
456772694;Crédito vehículo;Mujer;Servicios;83;Casado;40; 10,09 ;cuatro;13; 5.208.000 
50529582;Consumo;Mujer;Comercio;489;Divorciado;27; 82,71 ;cuatro;26; 9.240.000 
564921591;Crédito vehículo;Mujer;Comercio;148;Divorciado;43; 43,65 ;cuatro;31; 3.327.000 
375225284;Capital de trabajo;Hombre;Producción;234;Unión Libre;39; 69,98 ;cinco o +;24; 5.243.000 
486784537;Consumo;Hombre;Comercio;425;Soltero;28; 84,07 ;cuatro;27; 6.301.000 
184935976;Consumo;Hombre;Servicios;323;Casado;32; 43,63 ;tres;351; 9.022.000 
987510840;Consumo;Hombre;Comercio;209;Unión Libre;59; 7,51 ;cinco o +;23; 5.252.000 
595557220;Consumo;Mujer;Comercio;420;Unión Libre;53; 78,70 ;tres;9; 5.273.000 
632246667;Consumo;Hombre;Producción;202;Casado;42; 57,65 ;tres;19; 6.303.000 
541626790;Crédito vehículo;Mujer;Producción;226;Divorciado;37; 43,65 ;tres;67; 12.095.000 
444960808;Consumo;Hombre;Comercio;470;Casado;52; 45,89 ;cinco o +;6; 5.425.000 
739139762;Capital de trabajo;Hombre;Emprendedor;17;Soltero;48; 41,14 ;tres;19; 5.245.000 
643181126;Consumo;Mujer;Emprendedor;8;Unión Libre;43; 68,78 ;cuatro;37; 6.289.000 
821714987;Crédito vehículo;Hombre;Producción;223;Divorciado;57; 10,38 ;dos;7; 3.602.000 
83067201;Consumo;Hombre;Servicios;139;Casado;42; 78,01 ;tres;20; 7.557.000 
308700327;Capital de trabajo;Hombre;Comercio;81;Casado;55; 58,86 ;tres;11; 5.240.000 
390381188;Consumo;Hombre;Comercio;102;Unión Libre;31; 80,28 ;tres;5; 11.065.000 
57093905;Crédito vehículo;Hombre;Comercio;308;Soltero;62; 11,18 ;cuatro;55; 12.291.000 
995169802;Activo fijo;Hombre;Comercio;538;Divorciado;45; 17,81 ;tres;6; 5.500.000 
764620226;Consumo;Hombre;Comercio;618;Divorciado;45; 52,77 ;cinco o +;136; 6.317.000 
490264694;Consumo;Mujer;Comercio;546;Unión Libre;40; 16,22 ;cuatro;35; 5.232.000 
647931201;Activo fijo;Hombre;Comercio;74;Soltero;64; 62,72 ;cinco o +;2; 5.273.000 
251886174;Consumo;Mujer;Comercio;13;Casado;30; 85,91 ;tres;14; 6.427.000 
404038578;Crédito vehículo;Hombre;Comercio;129;Unión Libre;30; 41,40 ;cuatro;71; 6.150.000 
11828782;Activo fijo;Mujer;Comercio;427;Divorciado;42; 37,28 ;dos;79; 11.590.000 
94527341;Consumo;Hombre;Comercio;475;Unión Libre;30; 10,87 ;cuatro;14; 5.037.000 
720438055;Crédito vehículo;Mujer;Comercio;507;Casado;41; 42,42 ;tres;49; 9.909.000 
655287814;Consumo;Mujer;Comercio;481;Divorciado;41; 16,53 ;cinco o +;115; 9.949.000 
494430524;Consumo;Mujer;Producción;623;Unión Libre;63; 66,80 ;cuatro;25; 4.200.000 
21892456;Consumo;Hombre;Comercio;124;Soltero;65; 44,78 ;cinco o +;11; 5.371.000 
822667309;Crédito vehículo;Hombre;Comercio;10;Casado;68; 56,52 ;cinco o +;12; 4.650.000 
290418224;Consumo;Hombre;Comercio;288;Unión Libre;31; 0,60 ;tres;87; 9.651.000 
640998405;Consumo;Mujer;Comercio;475;Soltero;41; 60,29 ;cuatro;0; 8.388.000 
2997372;Consumo;Mujer;Servicios;10;Soltero;44; 40,00 ;uno;20; 15.697.000 
49305717;Capital de trabajo;Hombre;Comercio;166;Unión Libre;41; 66,16 ;cuatro;40; 3.608.000 
948950475;Activo fijo;Hombre;Comercio;153;Divorciado;48; 50,85 ;uno;5; 3.690.000 
708018893;Consumo;Hombre;Servicios;77;Casado;43; 27,60 ;tres;8; 3.908.000 
74401338;Capital de trabajo;Hombre;Producción;56;Casado;59; 43,54 ;cuatro;41; 7.975.000 
2973718;Crédito vehículo;Mujer;Comercio;99;Casado;56; 27,95 ;uno;5; 5.404.000 
798373917;Crédito vehículo;Mujer;Comercio;527;Casado;54; 42,67 ;cuatro;15; 9.158.000 
78902951;Consumo;Hombre;Comercio;36;Soltero;39; 75,19 ;tres;8; 4.650.000 
318587628;Consumo;Mujer;Servicios;623;Divorciado;45; 5,15 ;dos;7; 11.540.000 
882170018;Consumo;Mujer;Producción;178;Casado;56; 44,02 ;uno;15; 5.328.000 
965085153;Activo fijo;Mujer;Servicios;163;Unión Libre;41; 79,48 ;tres;47; 6.796.000 
618500057;Consumo;Mujer;Comercio;271;Unión Libre;50; 40,00 ;uno;26; 14.250.000 
397090191;Activo fijo;Mujer;Comercio;17;Casado;50; 39,54 ;tres;1; 5.202.000 
237801561;Crédito vehículo;Hombre;Emprendedor;13;Casado;43; 17,02 ;cuatro;46; 8.459.000 
919356967;Activo fijo;Mujer;Producción;380;Unión Libre;65; 31,17 ;tres;0; 8.425.000 
885683532;Consumo;Mujer;Comercio;72;Soltero;43; 25,88 ;tres;8; 5.252.000 
328152775;Capital de trabajo;Hombre;Producción;450;Unión Libre;64; 38,94 ;cinco o +;35; 9.456.000 
101584128;Consumo;Hombre;Comercio;526;Casado;57; 45,67 ;dos;25; 10.759.000 
2181207;Consumo;Mujer;Comercio;483;Soltero;25; 52,36 ;cuatro;6; 7.386.000 
978057168;Crédito vehículo;Mujer;Comercio;77;Casado;45; 76,39 ;tres;5; 5.449.000 
188948811;Consumo;Hombre;Comercio;539;Soltero;43; 37,98 ;cuatro;4; 3.521.000 
804374339;Crédito vehículo;Mujer;Informal;190;Casado;57; 25,03 ;cuatro;247; 3.460.000 
250195492;Capital de trabajo;Mujer;Producción;353;Casado;44; 43,65 ;cuatro;27; 4.913.000 
463463096;Activo fijo;Mujer;Comercio;263;Soltero;50; 44,13 ;tres;63; 11.429.000 
557366936;Activo fijo;Mujer;Comercio;19;Casado;40; 86,17 ;cinco o +;9; 5.404.000 
342449846;Consumo;Mujer;Producción;296;Soltero;41; 43,56 ;dos;1; 6.150.000 
278903061;Activo fijo;Hombre;Comercio;619;Unión Libre;53; 44,28 ;cinco o +;332; 6.334.000 
885014985;Crédito vehículo;Hombre;Producción;184;Casado;25; 39,84 ;tres;20; 5.500.000 
673416739;Consumo;Hombre;Producción;317;Soltero;45; 20,16 ;uno;45; 8.352.000 
88092652;Crédito vehículo;Mujer;Emprendedor;15;Divorciado;48; 24,25 ;tres;8; 9.177.000 
55573445;Consumo;Hombre;Comercio;616;Casado;43; 83,38 ;dos;21; 6.817.000 
51296450;Crédito vehículo;Mujer;Comercio;490;Casado;36; 44,28 ;cuatro;1; 3.829.000 
874994835;Consumo;Hombre;Comercio;155;Divorciado;56; 43,20 ;dos;6; 11.620.000 
368459916;Consumo;Mujer;Comercio;87;Soltero;62; 17,59 ;tres;4; 11.869.000 
564171296;Consumo;Mujer;Informal;535;Casado;40; 71,74 ;cuatro;77; 9.669.000 
570439298;Activo fijo;Hombre;Producción;24;Unión Libre;39; 30,73 ;tres;28; 15.482.000 
483993800;Consumo;Hombre;Comercio;17;Casado;43; 35,46 ;tres;19; 6.302.000 
735265129;Consumo;Hombre;Servicios;17;Casado;45; 7,30 ;cinco o +;19; 3.639.000 
444657115;Capital de trabajo;Hombre;Comercio;573;Soltero;40; 22,92 ;tres;85; 5.500.000 
803938170;Crédito vehículo;Hombre;Servicios;51;Casado;32; 79,88 ;cuatro;22; 5.425.000 
655177871;Consumo;Mujer;Servicios;293;Unión Libre;44; 45,54 ;cuatro;0; 8.869.000 
696463229;Crédito vehículo;Mujer;Comercio;303;Divorciado;39; 66,07 ;uno;12; 9.862.000 
104942273;Crédito vehículo;Mujer;Producción;89;Soltero;39; 20,54 ;cuatro;26; 12.707.000 
530484614;Capital de trabajo;Hombre;Comercio;240;Unión Libre;25; 57,65 ;dos;17; 7.942.000 
793114700;Activo fijo;Mujer;Producción;153;Soltero;28; 8,27 ;cuatro;71; 4.650.000 
299043023;Capital de trabajo;Hombre;Comercio;135;Casado;45; 51,06 ;tres;11; 5.224.000 
126572513;Activo fijo;Hombre;Comercio;414;Unión Libre;55; 44,56 ;uno;16; 11.630.000 
104297357;Activo fijo;Hombre;Comercio;482;Unión Libre;28; 54,79 ;tres;198; 11.285.000 
276415031;Activo fijo;Hombre;Comercio;605;Unión Libre;59; 62,86 ;dos;302; 7.754.000 
784164633;Consumo;Hombre;Comercio;34;Casado;43; 61,03 ;dos;27; 5.252.000 
530730619;Consumo;Mujer;Comercio;194;Viudo;63; 43,22 ;dos;24; 7.246.000 
146666442;Activo fijo;Hombre;Producción;283;Divorciado;26; 43,22 ;cinco o +;28; 6.068.000 
844487011;Crédito vehículo;Mujer;Comercio;387;Unión Libre;28; 77,15 ;cuatro;66; 9.411.000 
29519551;Activo fijo;Hombre;Comercio;102;Divorciado;30; 84,62 ;cuatro;36; 14.039.000 
195400585;Activo fijo;Mujer;Comercio;230;Casado;36; 44,28 ;tres;20; 5.252.000 
982930366;Consumo;Hombre;Comercio;78;Unión Libre;45; 44,17 ;tres;16; 11.441.000 
24550726;Crédito vehículo;Mujer;Servicios;520;Unión Libre;31; 76,77 ;dos;34; 6.116.000 
127053216;Activo fijo;Hombre;Informal;469;Unión Libre;39; 50,17 ;tres;32; 10.968.000 
30441177;Activo fijo;Mujer;Servicios;457;Unión Libre;30; 27,03 ;dos;25; 10.664.000 
204239701;Capital de trabajo;Mujer;Comercio;88;Unión Libre;25; 59,61 ;cinco o +;9; 6.189.000 
603812312;Capital de trabajo;Hombre;Comercio;144;Casado;26; 51,97 ;dos;90; 4.538.000 
850005947;Consumo;Hombre;Producción;301;Casado;38; 25,73 ;tres;18; 5.208.000 
470235536;Consumo;Mujer;Comercio;369;Casado;51; 32,63 ;tres;23; 6.574.000 
390964454;Activo fijo;Hombre;Comercio;267;Soltero;36; 36,45 ;dos;23; 5.368.000 
520967988;Consumo;Mujer;Comercio;333;Divorciado;63; 84,58 ;dos;16; 6.427.000 
466787528;Activo fijo;Hombre;Producción;98;Divorciado;38; 19,91 ;uno;38; 9.871.000 
561407502;Crédito vehículo;Hombre;Producción;438;Unión Libre;20; 47,99 ;cuatro;76; 4.650.000 
432600842;Crédito vehículo;Mujer;Producción;250;Divorciado;47; 40,74 ;cuatro;141; 10.711.000 
647176760;Crédito vehículo;Mujer;Servicios;38;Casado;42; 60,25 ;cinco o +;330; 8.781.000 
121284818;Activo fijo;Mujer;Comercio;225;Soltero;25; 34,17 ;cinco o +;4; 5.204.000 
930924897;Consumo;Hombre;Comercio;427;Unión Libre;42; 50,00 ;tres;76; 5.500.000 
796107294;Capital de trabajo;Hombre;Comercio;161;Divorciado;37; 65,62 ;cuatro;6; 5.335.000 
632917779;Crédito vehículo;Mujer;Comercio;514;Casado;48; 86,53 ;dos;25; 11.873.000 
253873287;Consumo;Mujer;Informal;419;Soltero;31; 88,15 ;tres;59; 4.624.000 
17000150;Consumo;Mujer;Producción;527;Soltero;30; 30,15 ;tres;59; 3.913.000 
803237713;Consumo;Hombre;Comercio;60;Unión Libre;28; 20,04 ;tres;9; 10.656.000 
323833577;Consumo;Mujer;Servicios;245;Divorciado;47; 57,33 ;dos;0; 4.642.000 
961320125;Consumo;Mujer;Comercio;42;Unión Libre;39; 37,75 ;tres;13; 5.232.000 
235096955;Consumo;Mujer;Comercio;141;Casado;53; 44,09 ;cinco o +;78; 7.610.000 
249092587;Consumo;Hombre;Comercio;72;Unión Libre;43; 1,18 ;dos;13; 4.650.000 
941269097;Capital de trabajo;Hombre;Comercio;413;Unión Libre;51; 36,47 ;dos;81; 9.345.000 
219251287;Activo fijo;Mujer;Comercio;562;Unión Libre;23; 37,98 ;tres;54; 11.441.000 
795918503;Crédito vehículo;Mujer;Producción;316;Divorciado;21; 25,71 ;dos;55; 17.185.000 
521207436;Capital de trabajo;Hombre;Comercio;621;Divorciado;48; 28,86 ;cuatro;15; 4.650.000 
238014531;Activo fijo;Mujer;Comercio;18;Soltero;60; 51,86 ;uno;24; 10.954.000 
739252697;Consumo;Mujer;Comercio;228;Casado;62; 44,13 ;tres;9; 5.208.000 
64941417;Consumo;Hombre;Comercio;131;Casado;44; 50,49 ;dos;83; 6.621.000 
124270709;Crédito vehículo;Hombre;Comercio;266;Casado;44; 33,89 ;cinco o +;302; 8.263.000 
104915814;Crédito vehículo;Hombre;Producción;344;Divorciado;47; 2,67 ;cuatro;9; 2.978.000 
612685182;Capital de trabajo;Hombre;Comercio;403;Divorciado;26; 65,15 ;tres;10; 4.267.000 
392900963;Consumo;Hombre;Comercio;48;Soltero;59; 58,46 ;cuatro;23; 2.474.000 
19711197;Consumo;Hombre;Producción;545;Soltero;45; 62,02 ;uno;252; 6.150.000 
192419353;Activo fijo;Mujer;Emprendedor;8;Divorciado;48; 38,68 ;tres;29; 5.496.000 
321989337;Consumo;Hombre;Comercio;78;Divorciado;30; 37,98 ;tres;3; 4.195.000 
91367209;Capital de trabajo;Hombre;Comercio;447;Unión Libre;57; 3,71 ;cuatro;76; 4.624.000 
456056758;Consumo;Mujer;Comercio;325;Unión Libre;26; 48,56 ;dos;28; 4.650.000 
957621772;Activo fijo;Hombre;Emprendedor;13;Divorciado;27; 25,99 ;cuatro;79; 8.440.000 
755188472;Capital de trabajo;Hombre;Servicios;164;Casado;63; 44,13 ;tres;85; 10.586.000 
352499958;Activo fijo;Mujer;Servicios;306;Casado;55; 67,34 ;dos;0; 3.959.000 
824142034;Capital de trabajo;Hombre;Informal;173;Viudo;65; 66,77 ;tres;57; 10.034.000 
807674940;Activo fijo;Mujer;Informal;483;Soltero;61; 37,98 ;dos;23; 5.389.000 
100459329;Consumo;Hombre;Informal;422;Soltero;43; 77,46 ;cuatro;18; 8.444.000 
980887400;Activo fijo;Mujer;Comercio;154;Unión Libre;54; 7,30 ;tres;3; 5.218.000 
35687514;Capital de trabajo;Hombre;Producción;543;Unión Libre;67; 66,32 ;cuatro;11; 7.460.000 
588096779;Consumo;Mujer;Comercio;9;Soltero;45; 42,53 ;uno;14; 5.959.000 
800009175;Consumo;Mujer;Servicios;603;Casado;45; 90,13 ;tres;63; 8.964.000 
484906409;Crédito vehículo;Hombre;Comercio;493;Casado;51; 72,33 ;cuatro;5; 5.427.000 
285946309;Activo fijo;Mujer;Comercio;465;Soltero;23; 67,51 ;cuatro;26; 10.122.000 
513698199;Activo fijo;Hombre;Producción;286;Divorciado;25; 44,19 ;dos;340; 3.208.000 
4777916;Activo fijo;Hombre;Comercio;244;Divorciado;43; 41,98 ;tres;69; 9.013.000 
407696009;Consumo;Hombre;Comercio;163;Divorciado;56; 42,67 ;cuatro;88; 7.918.000 
899432366;Capital de trabajo;Hombre;Servicios;284;Unión Libre;30; 29,50 ;dos;85; 8.338.000 
371371732;Activo fijo;Mujer;Servicios;205;Casado;45; 90,47 ;cuatro;55; 4.650.000 
552064610;Consumo;Mujer;Comercio;335;Casado;30; 43,87 ;cinco o +;20; 10.699.000 
6111897;Consumo;Mujer;Comercio;81;Soltero;41; 45,67 ;cuatro;11; 6.046.000 
873161135;Consumo;Hombre;Comercio;524;Divorciado;47; 75,00 ;cuatro;3; 5.441.000 
